Posición,Precio (EUR/MWh),País
1,68.33,Austria
1,94.97,Austria
1,95.44,Austria
1,104.98,Austria
2,64.95,Austria
2,84.93,Austria
2,87.21,Austria
2,94.98,Austria
3,61.46,Austria
3,76.6,Austria
3,79.98,Austria
3,80.75,Austria
4,63.85,Austria
4,65.0,Austria
4,71.3,Austria
4,76.25,Austria
5,66.88,Austria
5,72.98,Austria
5,83.96,Austria
5,89.19,Austria
6,64.98,Austria
6,78.93,Austria
6,82.16,Austria
6,84.33,Austria
7,61.03,Austria
7,65.08,Austria
7,72.42,Austria
7,117.22,Austria
8,54.98,Austria
8,62.45,Austria
8,64.94,Austria
8,103.98,Austria
9,25.49,Austria
9,78.93,Austria
9,80.99,Austria
9,85.47,Austria
10,5.18,Austria
10,59.08,Austria
10,77.92,Austria
10,79.98,Austria
11,0.0,Austria
11,10.58,Austria
11,63.6,Austria
11,72.7,Austria
12,-0.16,Austria
12,0.01,Austria
12,54.98,Austria
12,64.97,Austria
13,-0.01,Austria
13,1.51,Austria
13,77.92,Austria
13,79.98,Austria
14,-14.84,Austria
14,1.9,Austria
14,69.7,Austria
15,-38.91,Austria
15,0.2,Austria
15,55.02,Austria
15,69.94,Austria
16,-9.91,Austria
16,13.78,Austria
16,50.45,Austria
16,69.96,Austria
17,0.0,Austria
17,28.93,Austria
17,52.92,Austria
17,74.98,Austria
18,38.06,Austria
18,64.97,Austria
18,65.07,Austria
18,69.97,Austria
19,54.94,Austria
19,54.98,Austria
19,78.93,Austria
19,90.06,Austria
20,52.6,Austria
20,80.49,Austria
20,86.27,Austria
20,103.96,Austria
21,44.92,Austria
21,65.58,Austria
21,88.17,Austria
21,161.75,Austria
22,64.56,Austria
22,77.92,Austria
22,100.99,Austria
22,110.85,Austria
23,51.13,Austria
23,79.83,Austria
23,92.99,Austria
23,97.92,Austria
24,50.04,Austria
24,81.23,Austria
24,90.2,Austria
24,107.35,Austria
25,45.02,Austria
25,60.43,Austria
26,55.02,Austria
26,77.92,Austria
27,54.98,Austria
27,102.37,Austria
28,53.89,Austria
28,126.7,Austria
29,74.91,Austria
29,89.93,Austria
30,52.58,Austria
30,97.86,Austria
31,50.05,Austria
31,102.92,Austria
32,47.51,Austria
32,104.9,Austria
33,75.39,Austria
33,102.92,Austria
34,56.39,Austria
34,94.06,Austria
35,36.54,Austria
35,79.91,Austria
36,32.57,Austria
36,72.41,Austria
37,64.94,Austria
37,88.27,Austria
38,40.05,Austria
38,78.93,Austria
39,12.58,Austria
39,63.42,Austria
40,-30.71,Austria
40,44.91,Austria
41,64.95,Austria
41,78.93,Austria
42,25.04,Austria
42,65.64,Austria
43,0.21,Austria
43,42.58,Austria
44,-39.45,Austria
44,32.85,Austria
45,47.42,Austria
45,77.92,Austria
46,6.98,Austria
46,52.92,Austria
47,-13.65,Austria
47,38.21,Austria
48,-18.24,Austria
48,17.58,Austria
49,22.41,Austria
49,61.34,Austria
50,-12.47,Austria
50,35.04,Austria
51,-20.16,Austria
51,22.54,Austria
52,-17.47,Austria
52,15.01,Austria
53,-37.79,Austria
53,42.49,Austria
54,-37.6,Austria
54,37.41,Austria
55,-30.82,Austria
55,22.53,Austria
56,-39.57,Austria
56,7.51,Austria
57,-58.29,Austria
57,34.94,Austria
58,-55.26,Austria
58,29.51,Austria
59,-52.64,Austria
59,25.05,Austria
60,-21.84,Austria
60,30.0,Austria
61,-58.92,Austria
61,32.47,Austria
62,-51.02,Austria
62,37.44,Austria
63,-46.66,Austria
63,36.63,Austria
64,32.5,Austria
64,49.13,Austria
65,-62.54,Austria
65,25.45,Austria
66,-41.35,Austria
66,42.63,Austria
67,12.51,Austria
67,74.96,Austria
68,34.48,Austria
68,78.93,Austria
69,-82.82,Austria
69,32.4,Austria
70,-5.5,Austria
70,52.4,Austria
71,42.48,Austria
71,78.93,Austria
72,79.98,Austria
72,97.18,Austria
73,5.03,Austria
73,39.97,Austria
74,28.09,Austria
74,72.45,Austria
75,74.91,Austria
75,97.96,Austria
76,79.98,Austria
76,112.62,Austria
77,49.47,Austria
77,77.92,Austria
78,62.45,Austria
78,86.22,Austria
79,80.99,Austria
79,102.92,Austria
80,85.54,Austria
80,117.25,Austria
81,80.99,Austria
81,133.37,Austria
82,87.43,Austria
82,129.97,Austria
83,86.93,Austria
83,132.46,Austria
84,90.04,Austria
84,105.03,Austria
85,97.42,Austria
85,188.27,Austria
86,80.08,Austria
86,150.89,Austria
87,79.98,Austria
87,87.59,Austria
88,78.93,Austria
88,79.91,Austria
89,96.22,Austria
89,139.95,Austria
90,89.91,Austria
90,107.49,Austria
91,79.92,Austria
91,89.98,Austria
92,69.95,Austria
92,77.92,Austria
93,99.94,Austria
93,124.61,Austria
94,80.99,Austria
94,99.95,Austria
95,74.91,Austria
95,78.93,Austria
96,51.59,Austria
96,59.99,Austria
